"","Reps","region_index","Time","Marker","mean_fluor"
"329","Rep3",3,"8h","HDEL",0.07282978725
"330","Rep3",3,"8h","Pex6",0.0603496160322581
"331","Rep3",3,"8h","Rpl25",0.0995058710740741
"332","Rep3",3,"8h","Scad2",0.05454650445
"333","Rep3",3,"8h","Sec7",0.0604239447727273
"334","Rep3",3,"8h","Vac8",0.08334083748
"335","Rep3",4,"24h","Grh1",0.0438992645769231
"336","Rep3",4,"24h","HDEL",0.0367957657
"337","Rep3",4,"24h","Pex6",0.030483775
"338","Rep3",4,"24h","Rpl25",0.229924894916667
"339","Rep3",4,"24h","Scad2",0.063152246
"340","Rep3",4,"24h","Sec7",0.0366768113
"341","Rep3",4,"24h","Vac8",0.03188513525
"342","Rep3",4,"4h","Grh1",0.0719303927037037
"343","Rep3",4,"4h","HDEL",0.0604708253
"344","Rep3",4,"4h","Pex6",0.0605470224814815
"345","Rep3",4,"4h","Rpl25",0.0797773636153846
"346","Rep3",4,"4h","Scad2",0.0522159299545455
"347","Rep3",4,"4h","Sec7",0.0475075195909091
"348","Rep3",4,"4h","Vac8",0.04425373984
"349","Rep3",4,"8h","Grh1",0.065881831
"350","Rep3",4,"8h","HDEL",0.06519306105
"351","Rep3",4,"8h","Pex6",0.0468168862258065
"352","Rep3",4,"8h","Rpl25",0.0662116182222222
"353","Rep3",4,"8h","Scad2",0.05089228675
"354","Rep3",4,"8h","Sec7",0.0452375302727273
"355","Rep3",4,"8h","Vac8",0.07165527276
"356","Rep3",5,"24h","Grh1",0.159424491615385
"357","Rep3",5,"24h","HDEL",0.159604902
"358","Rep3",5,"24h","Pex6",0.13146832564
"359","Rep3",5,"24h","Rpl25",0.152197681166667
"360","Rep3",5,"24h","Scad2",0.17230537525
"361","Rep3",5,"24h","Sec7",0.1774958668
"362","Rep3",5,"24h","Vac8",0.0580527920416667
"363","Rep3",5,"4h","Grh1",0.142351745259259
"364","Rep3",5,"4h","HDEL",0.11486090915
"365","Rep3",5,"4h","Pex6",0.117294207555556
"366","Rep3",5,"4h","Rpl25",0.185176020884615
"367","Rep3",5,"4h","Scad2",0.1062794735
"368","Rep3",5,"4h","Sec7",0.115580777409091
"369","Rep3",5,"4h","Vac8",0.05909688796
"370","Rep3",5,"8h","Grh1",0.121822172653846
"371","Rep3",5,"8h","HDEL",0.10811280865
"372","Rep3",5,"8h","Pex6",0.114214253741935
"373","Rep3",5,"8h","Rpl25",0.198252229851852
"374","Rep3",5,"8h","Scad2",0.149126224
"375","Rep3",5,"8h","Sec7",0.128322751045455
"376","Rep3",5,"8h","Vac8",0.07606390952
