lif_file,regions_file,region_index,region_name,channel_1_region_volume,channel_1_unscaled_region_volume,region_area,Norm_fluoro,Reps,Time,Marker
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series015.zip,2,0002-0245-0242,387596,1519.9843,11019,0.137942127,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series015.zip,3,0002-0299-0319,178171,698.70984,4737,0.147500494,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series016.zip,1,0002-0197-0309,240957,944.9295,7993,0.11821963,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series016.zip,2,0002-0259-0276,316207,1240.0276,10526,0.117806156,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series016.zip,3,0002-0336-0229,198979,780.3099,5753,0.135635303,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series017.zip,1,0002-0316-0157,278197,1090.9688,9933,0.109832759,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series017.zip,2,0002-0269-0221,378865,1485.745,13241,0.112207915,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series017.zip,3,0002-0210-0310,288154,1130.0157,7927,0.142552756,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series018.zip,1,0002-0344-0298,227615,892.6079,8676,0.102882423,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series018.zip,2,0002-0259-0252,504136,1977.0039,15293,0.129275087,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series018.zip,3,0002-0153-0180,324418,1272.2275,8294,0.153391307,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series019.zip,1,0002-0281-0174,240720,944.00006,8115,0.116327795,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series019.zip,2,0002-0262-0262,432745,1697.0394,14300,0.118674084,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series019.zip,3,0002-0220-0361,287409,1127.0941,7657,0.147197871,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series020.zip,1,0002-0307-0151,230685,904.6471,8112,0.111519613,Rep1,0h,HDEL-GFP
